model,condition,params,licence,class,f1_production,f1_no_floor,precision,recall,abstention_on_factless,cpu_est_ms_per_note,cpu_gen_tok_s,cpu_prompt_tok_s,dropped_by_conf_floor,f1_strict,in_seed_ontology,json_parse_rate,median_completion_tokens,median_latency_ms_gpu,notes_scored,schema_rate,spurious_triples
google/gemma-4-E4B-it,ablation_conf,E4B (4.5B eff),apache-2.0,incumbent,0.7107,0.7049,0.7544,0.6719,0.8261,,,,1,0.6942,0.8947,1.0,26,856.9,70,1.0,4
google/gemma-4-E4B-it,production,E4B (4.5B eff),apache-2.0,incumbent,0.7049,0.6992,0.7414,0.6719,0.8261,35230,3.3,19.4,1,0.6885,0.8966,1.0,26,847.8,70,1.0,4
unsloth/gemma-3n-E4B-it,ablation_conf,E4B,gemma,superseded,0.6277,0.6277,0.589,0.6719,0.3043,,,,0,0.6277,0.9041,1.0,36,1691.8,70,1.0,16
unsloth/gemma-3n-E4B-it,production,E4B,gemma,superseded,0.6241,0.6197,0.5714,0.6875,0.2174,,,,1,0.6241,0.9091,1.0,37,1760.4,70,1.0,18
google/gemma-4-E2B-it,production,E2B (2.3B eff),apache-2.0,actionable,0.5692,0.5103,0.5606,0.5781,0.6364,17985,6.3,38.6,15,0.5538,0.8939,0.9714,26,629.8,70,0.9857,8
google/gemma-4-E2B-it,ablation_conf,E2B (2.3B eff),apache-2.0,actionable,0.563,0.5352,0.5352,0.5938,0.381,,,,7,0.5481,0.9155,0.9286,27,741.1,70,0.9714,13
ibm-granite/granite-4.0-1b,ablation_conf,1B,apache-2.0,actionable,0.5532,0.5493,0.5065,0.6094,0.1,,,,1,0.5532,0.7403,0.9286,28,466.7,70,0.9571,18
ibm-granite/granite-4.0-1b,production,1B,apache-2.0,actionable,0.5507,0.5429,0.5135,0.5938,0.1667,13568,8.5,50.7,2,0.5507,0.7703,0.8857,28,530.3,70,0.9143,15
ibm-granite/granite-4.1-3b,ablation_conf,3B,apache-2.0,actionable,0.5161,0.5942,0.5333,0.5,0.5217,,,,14,0.5161,0.85,1.0,27,479.3,70,1.0,11
ibm-granite/granite-4.1-3b,production,3B,apache-2.0,actionable,0.512,0.5797,0.5246,0.5,0.5217,27346,4.2,25.1,13,0.512,0.8525,1.0,27,465.5,70,1.0,11
Qwen/Qwen3-1.7B,ablation_conf,1.7B,apache-2.0,superseded,0.4286,0.4476,0.5,0.375,0.8261,,,,31,0.4286,0.8542,1.0,35,437.7,70,1.0,5
ibm-granite/granite-4.0-h-1b,production,1B,apache-2.0,actionable,0.4211,0.4118,0.4058,0.4375,0.087,12428,8.9,56.8,3,0.4211,0.6377,0.9714,28,1180.7,70,0.9714,21
ibm-granite/granite-4.0-h-1b,ablation_conf,1B,apache-2.0,actionable,0.4058,0.4029,0.3784,0.4375,0.0,,,,1,0.4058,0.6622,0.9857,28,1074.5,70,0.9857,23
Qwen/Qwen3.5-0.8B,ablation_conf,800M,apache-2.0,actionable,0.3883,0.3824,0.5128,0.3125,0.6087,,,,33,0.3883,0.7692,1.0,26,487.4,70,1.0,9
Qwen/Qwen3.5-2B,production,2B,apache-2.0,actionable,0.3465,0.3284,0.3492,0.3438,0.3043,,,,7,0.3307,0.8571,1.0,28,557.8,70,1.0,16
Qwen/Qwen3.5-0.8B,production,800M,apache-2.0,actionable,0.3434,0.3556,0.4857,0.2656,0.7391,6747,14.7,115.2,36,0.3434,0.8,1.0,26,552.3,70,1.0,6
Qwen/Qwen3.5-2B,ablation_conf,2B,apache-2.0,actionable,0.3281,0.3206,0.3281,0.3281,0.2174,,,,3,0.3281,0.875,1.0,28,559.2,70,1.0,18
Qwen/Qwen3-0.6B,ablation_conf,600M,apache-2.0,superseded,0.3235,0.3286,0.3056,0.3438,0.087,,,,4,0.3235,0.5556,0.9857,30,468.1,70,0.9857,21
Qwen/Qwen3-1.7B,production,1.7B,apache-2.0,superseded,0.3218,0.4962,0.6087,0.2188,0.9545,12088,10.4,53.5,46,0.3218,0.8261,0.9857,33,433.0,70,0.9857,1
HuggingFaceTB/SmolLM2-360M-Instruct,production,360M,apache-2.0,superseded,0.0,0.0,0.0,0.0,,4304,21.2,196.6,0,0.0,,1.0,20,259.6,70,0.0,0
LiquidAI/LFM2-350M-Extract,production,350M,lfm1.0,reference,0.0,0.0,0.0,0.0,0.75,2806,36.2,269.9,3,0.0,0.0,0.1429,512,3384.3,70,0.1429,4
LiquidAI/LFM2-350M-Extract,ablation_conf,350M,lfm1.0,reference,0.0,0.0,0.0,0.0,0.3333,,,,0,0.0,0.0,0.1286,512,3351.9,70,0.1286,2
LiquidAI/LFM2.5-230M,production,230M,lfm1.0,reference,0.0,0.0,0.0,0.0,1.0,2233,38.8,402.0,12,0.0,,0.6571,43,298.1,70,0.6571,0
Qwen/Qwen3-0.6B,production,600M,apache-2.0,superseded,0.0,0.3212,0.0,0.0,1.0,6095,15.2,136.1,73,0.0,,0.9857,30,359.2,70,0.9714,0
ibm-granite/granite-4.0-350m,production,350M,apache-2.0,actionable,0.0,0.1789,0.0,0.0,0.85,3257,29.4,246.3,53,0.0,0.0,0.8286,22,301.5,70,0.8286,3
ibm-granite/granite-4.0-350m,ablation_conf,350M,apache-2.0,actionable,0.0,0.1805,0.0,0.0,0.7391,,,,56,0.0,0.0769,0.9429,23,252.9,70,0.9429,6
ibm-granite/granite-4.0-h-350m,production,350M,apache-2.0,actionable,0.0,0.1412,0.0,0.0,1.0,,,,20,0.0,1.0,0.3143,26,740.2,70,0.3143,0
unsloth/gemma-3-270m-it,production,270M,gemma,superseded,0.0,0.0,0.0,0.0,,,,,0,0.0,,1.0,22,273.1,70,0.0,0
unsloth/gemma-3-270m-it,ablation_conf,270M,gemma,superseded,0.0,0.0,0.0,0.0,,,,,0,0.0,,1.0,22,263.7,70,0.0,0
